Roll: 178.90, Pitch:  70.14, Yaw:  58.11| 
Roll: 178.52, Pitch:  70.45, Yaw:  58.58| 
Roll: 178.09, Pitch:  70.74, Yaw:  59.14| 
Roll: 177.67, Pitch:  71.08, Yaw:  59.83| 
Roll: 177.33, Pitch:  71.46, Yaw:  60.70| 
Roll: 177.06, Pitch:  71.84, Yaw:  61.71| 
Roll: 176.86, Pitch:  72.21, Yaw:  62.85| 
Roll: 176.66, Pitch:  72.59, Yaw:  64.10| 
Roll: 176.54, Pitch:  73.00, Yaw:  65.48| 
Roll: 176.47, Pitch:  73.44, Yaw:  67.00| 
Roll: 176.46, Pitch:  73.97, Yaw:  68.67| 
Roll: 176.58, Pitch:  74.51, Yaw:  70.44| 
Roll: 176.67, Pitch:  75.01, Yaw:  72.15| 
Roll: 176.62, Pitch:  75.54, Yaw:  73.82| 
Roll: 176.56, Pitch:  76.17, Yaw:  75.62| 
Roll: 176.65, Pitch:  76.80, Yaw:  77.59| 
Roll: 176.85, Pitch:  77.38, Yaw:  79.50| 
Roll: 176.93, Pitch:  77.94, Yaw:  81.19| 
Roll: 176.94, Pitch:  78.48, Yaw:  82.86| 
Roll: 177.11, Pitch:  79.01, Yaw:  84.77| 
Roll: 177.54, Pitch:  79.49, Yaw:  86.90| 
Roll: 178.07, Pitch:  79.86, Yaw:  88.96| 
Roll: 178.53, Pitch:  80.15, Yaw:  90.79| 
Roll: 178.83, Pitch:  80.42, Yaw:  92.48| 
Roll: 179.18, Pitch:  80.67, Yaw:  94.33| 
Roll: 179.70, Pitch:  80.91, Yaw:  96.41| 
Roll:-179.59, Pitch:  81.10, Yaw:  98.63| 
Roll:-178.68, Pitch:  81.29, Yaw: 101.00| 
Roll:-177.74, Pitch:  81.51, Yaw: 103.37| 
Roll:-176.69, Pitch:  81.74, Yaw: 105.94| 
Roll:-175.37, Pitch:  81.96, Yaw: 108.85| 
Roll:-173.76, Pitch:  82.16, Yaw: 112.06| 
Roll:-171.86, Pitch:  82.38, Yaw: 115.53| 
Roll:-169.64, Pitch:  82.60, Yaw: 119.33| 
Roll:-166.94, Pitch:  82.82, Yaw: 123.62| 
Roll:-164.25, Pitch:  83.02, Yaw: 127.88| 
Roll:-161.76, Pitch:  83.13, Yaw: 131.89| 
Roll:-159.45, Pitch:  83.21, Yaw: 135.63| 
Roll:-157.15, Pitch:  83.30, Yaw: 139.35| 
Roll:-154.62, Pitch:  83.38, Yaw: 143.35| 
Roll:-151.84, Pitch:  83.43, Yaw: 147.59| 
Roll:-148.79, Pitch:  83.47, Yaw: 152.07| 
Roll:-145.95, Pitch:  83.48, Yaw: 156.27| 
Roll:-143.33, Pitch:  83.47, Yaw: 160.21| 
Roll:-140.55, Pitch:  83.45, Yaw: 164.28| 
Roll:-137.69, Pitch:  83.41, Yaw: 168.40| 
Roll:-134.94, Pitch:  83.32, Yaw: 172.39| 
Roll:-132.21, Pitch:  83.20, Yaw: 176.36| 
Roll:-129.33, Pitch:  83.06, Yaw:-179.55| 
Roll:-126.63, Pitch:  82.90, Yaw:-175.66| 
Roll:-124.18, Pitch:  82.72, Yaw:-172.04| 
Roll:-121.96, Pitch:  82.54, Yaw:-168.68| 
Roll:-120.03, Pitch:  82.33, Yaw:-165.64| 
Roll:-118.33, Pitch:  82.09, Yaw:-162.87| 
Roll:-116.52, Pitch:  81.84, Yaw:-160.01| 
Roll:-114.66, Pitch:  81.58, Yaw:-157.15| 
Roll:-113.13, Pitch:  81.33, Yaw:-154.69| 
Roll:-111.95, Pitch:  81.07, Yaw:-152.63| 
Roll:-110.93, Pitch:  80.82, Yaw:-150.76| 
Roll:-109.81, Pitch:  80.56, Yaw:-148.86| 
Roll:-108.76, Pitch:  80.30, Yaw:-147.03| 
Roll:-107.92, Pitch:  80.04, Yaw:-145.41| 
Roll:-107.13, Pitch:  79.78, Yaw:-143.85| 
Roll:-106.29, Pitch:  79.52, Yaw:-142.25| 
Roll:-105.54, Pitch:  79.28, Yaw:-140.77| 
Roll:-104.90, Pitch:  79.06, Yaw:-139.45| 
Roll:-104.45, Pitch:  78.86, Yaw:-138.34| 
